"","Taxon","wood.density","source"
"1782","Endiandra sieberi",0.62,"AUSTRAITS_dataset_34"
"842","Erythrina species 'Croftby'",0.215,"AUSTRAITS_dataset_49"
"864","Eupomatia laurina",0.478,"AUSTRAITS_dataset_28"
"891","Eupomatia laurina",0.508,"AUSTRAITS_dataset_28"
"952","Eupomatia laurina",0.515,"AUSTRAITS_dataset_28"
"1112","Eupomatia laurina",0.5,"AUSTRAITS_dataset_39"
"1789","Eupomatia laurina",0.544,"AUSTRAITS_dataset_34"
"643","Euroschinus falcatus",0.412,"AUSTRAITS_dataset_49"
"978","Euroschinus falcatus",0.45,"AUSTRAITS_dataset_39"
"1792","Euroschinus falcatus",0.413,"AUSTRAITS_dataset_34"
"1794","Euroschinus falcatus",0.415,"AUSTRAITS_dataset_34"
"464","Ficus coronata",0.3999,"AUSTRAITS_dataset_49"
"713","Ficus coronata",0.521,"AUSTRAITS_dataset_28"
"993","Ficus coronata",0.4,"AUSTRAITS_dataset_28"
"1090","Ficus coronata",0.47,"AUSTRAITS_dataset_28"
"802","Ficus fraseri",0.39,"AUSTRAITS_dataset_49"
"826","Ficus fraseri",0.406,"AUSTRAITS_dataset_28"
"917","Ficus fraseri",0.502,"AUSTRAITS_dataset_28"
"970","Ficus fraseri",0.585,"AUSTRAITS_dataset_28"
"1067","Ficus fraseri",0.421,"AUSTRAITS_dataset_28"
"1799","Ficus fraseri",0.401,"AUSTRAITS_dataset_34"
"1800","Ficus fraseri",0.396,"AUSTRAITS_dataset_34"
"429","Ficus obliqua",0.51,"AUSTRAITS_dataset_49"
"1805","Ficus obliqua",0.495,"AUSTRAITS_dataset_34"
"1806","Ficus obliqua",0.534,"AUSTRAITS_dataset_34"
"1074","Ficus opposita",0.44,"AUSTRAITS_dataset_39"
"1812","Ficus racemosa",0.353,"AUSTRAITS_dataset_34"
"1813","Ficus racemosa",0.413,"AUSTRAITS_dataset_34"
"1814","Ficus racemosa",0.344,"AUSTRAITS_dataset_34"
"1030","Ficus virens",0.34,"AUSTRAITS_dataset_49"
"1816","Ficus virens",0.344,"AUSTRAITS_dataset_34"
"1091","Ficus watkinsiana",0.37,"AUSTRAITS_dataset_49"
"1818","Ficus watkinsiana",0.331,"AUSTRAITS_dataset_34"
"1819","Ficus watkinsiana",0.449,"AUSTRAITS_dataset_34"
"1821","Ficus watkinsiana",0.35,"AUSTRAITS_dataset_34"
"1075","Flindersia schottiana",0.58,"AUSTRAITS_dataset_49"
"1833","Flindersia schottiana",0.596,"AUSTRAITS_dataset_34"
"1834","Flindersia schottiana",0.602,"AUSTRAITS_dataset_34"
"1835","Flindersia schottiana",0.571,"AUSTRAITS_dataset_34"
"1836","Flindersia schottiana",0.574,"AUSTRAITS_dataset_34"
"1837","Flindersia schottiana",0.581,"AUSTRAITS_dataset_34"
"1840","Flindersia schottiana",0.59,"AUSTRAITS_dataset_34"
"326","Glochidion ferdinandi",0.5977,"AUSTRAITS_dataset_49"
"694","Glochidion ferdinandi",0.49,"AUSTRAITS_dataset_30"
"1856","Glochidion ferdinandi",0.579,"AUSTRAITS_dataset_34"
"1857","Glochidion ferdinandi",0.607,"AUSTRAITS_dataset_34"
"26","Grevillea robusta",0.516,"AUSTRAITS_dataset_49"
"1863","Grevillea robusta",0.535,"AUSTRAITS_dataset_34"
"1864","Grevillea robusta",0.51,"AUSTRAITS_dataset_34"
"1865","Grevillea robusta",0.525,"AUSTRAITS_dataset_34"
"1866","Grevillea robusta",0.536,"AUSTRAITS_dataset_34"
"1867","Grevillea robusta",0.495,"AUSTRAITS_dataset_34"
"1868","Grevillea robusta",0.534,"AUSTRAITS_dataset_34"
"1869","Grevillea robusta",0.517,"AUSTRAITS_dataset_34"
"1870","Grevillea robusta",0.554,"AUSTRAITS_dataset_34"
"1871","Grevillea robusta",0.538,"AUSTRAITS_dataset_34"
"300","Guioa semiglauca",0.6622,"AUSTRAITS_dataset_49"
"503","Helicia glabriflora",0.5762,"AUSTRAITS_dataset_49"
"1880","Heritiera trifoliolata",0.758,"AUSTRAITS_dataset_34"
"1881","Heritiera trifoliolata",0.796,"AUSTRAITS_dataset_34"
"1883","Heritiera trifoliolata",0.689,"AUSTRAITS_dataset_34"
"1886","Heritiera trifoliolata",0.805,"AUSTRAITS_dataset_34"
"1004","Hicksbeachia pinnatifolia",0.5805,"AUSTRAITS_dataset_49"
"280","Hodgkinsonia ovatiflora",0.8256,"AUSTRAITS_dataset_49"
"815","Hymenosporum flavum",0.57,"AUSTRAITS_dataset_49"
"1901","Hymenosporum flavum",0.607,"AUSTRAITS_dataset_34"
"803","Ixora beckleri",0.8256,"AUSTRAITS_dataset_49"
"211","Jagera pseudorhus",0.63,"AUSTRAITS_dataset_49"
"1908","Jagera pseudorhus",0.676,"AUSTRAITS_dataset_34"
"930","Lophostemon confertus",0.69,"AUSTRAITS_dataset_49"
"1933","Lophostemon confertus",0.73,"AUSTRAITS_dataset_34"
"1934","Lophostemon confertus",0.724,"AUSTRAITS_dataset_34"
"1935","Lophostemon confertus",0.762,"AUSTRAITS_dataset_34"
"1936","Lophostemon confertus",0.758,"AUSTRAITS_dataset_34"
"718","Lophostemon suaveolens",0.57,"AUSTRAITS_dataset_61"
"1062","Lophostemon suaveolens",0.46,"AUSTRAITS_dataset_61"
"1941","Lophostemon suaveolens",0.691,"AUSTRAITS_dataset_34"
"1942","Lophostemon suaveolens",0.551,"AUSTRAITS_dataset_34"
"1943","Lophostemon suaveolens",0.704,"AUSTRAITS_dataset_34"
"1944","Lophostemon suaveolens",0.758,"AUSTRAITS_dataset_34"
"1946","Lophostemon suaveolens",0.6,"AUSTRAITS_dataset_34"
"397","Mallotus discolor",0.5805,"AUSTRAITS_dataset_49"
"1953","Mallotus discolor",0.633,"AUSTRAITS_dataset_34"
"999","Mallotus philippensis",0.6,"AUSTRAITS_dataset_49"
"1955","Mallotus philippensis",0.65,"AUSTRAITS_dataset_34"
"1956","Mallotus philippensis",0.56,"AUSTRAITS_dataset_34"
"1964","Melaleuca bracteata",0.87,"AUSTRAITS_dataset_34"
"1970","Melaleuca quinquenervia",0.689,"AUSTRAITS_dataset_34"
"1971","Melaleuca quinquenervia",0.57,"AUSTRAITS_dataset_34"
"146","Melia azedarach",0.38,"AUSTRAITS_dataset_49"
"1977","Melia azedarach",0.383,"AUSTRAITS_dataset_34"
"1978","Melia azedarach",0.4,"AUSTRAITS_dataset_34"
"1990","Mischarytera lautereriana",0.58,"AUSTRAITS_dataset_34"
"1991","Mischarytera lautereriana",0.607,"AUSTRAITS_dataset_34"
"455","Mischocarpus australis",0.6493,"AUSTRAITS_dataset_49"
"1021","Mischocarpus pyriformis",0.6,"AUSTRAITS_dataset_49"
"2251","Morinda jasminoides",0.577025052,"Lawson_field_work"
"346","Myrsine variabilis",0.71,"AUSTRAITS_dataset_49"
"2000","Myrsine variabilis",0.784,"AUSTRAITS_dataset_34"
"1120","Neolitsea dealbata",0.412,"AUSTRAITS_dataset_28"
"1129","Neolitsea dealbata",0.47,"AUSTRAITS_dataset_39"
"1137","Neolitsea dealbata",0.585,"AUSTRAITS_dataset_28"
"1138","Neolitsea dealbata",0.59,"AUSTRAITS_dataset_28"
"2003","Neolitsea dealbata",0.498,"AUSTRAITS_dataset_34"
"2005","Neolitsea dealbata",0.445,"AUSTRAITS_dataset_33"
"809","Notelaea longifolia",0.78,"AUSTRAITS_dataset_49"
"2009","Notelaea longifolia",0.87,"AUSTRAITS_dataset_34"
"2254","Notelaea longifolia",0.725166841,"Lawson_field_work"
"724","Olea paniculata",0.732,"AUSTRAITS_dataset_49"
"2015","Olea paniculata",0.761,"AUSTRAITS_dataset_34"
"2016","Olea paniculata",0.788,"AUSTRAITS_dataset_34"
"2256","Pandorea pandorana",0.751375108,"Lawson_field_work"
"366","Pararchidendron pruinosum",0.5,"AUSTRAITS_dataset_49"
"2025","Pararchidendron pruinosum",0.525,"AUSTRAITS_dataset_34"
"2257","Parsonsia straminea",0.58133195,"Lawson_field_work"
"542","Pittosporum undulatum",0.731,"AUSTRAITS_dataset_49"
"759","Pittosporum undulatum",0.508,"AUSTRAITS_dataset_28"
"823","Pittosporum undulatum",0.556,"AUSTRAITS_dataset_28"
"859","Pittosporum undulatum",0.683,"AUSTRAITS_dataset_28"
"2055","Pittosporum undulatum",0.745,"AUSTRAITS_dataset_34"
"794","Planchonella australis",0.7568,"AUSTRAITS_dataset_49"
"777","Polyscias elegans",0.4,"AUSTRAITS_dataset_49"
"921","Polyscias elegans",0.22,"AUSTRAITS_dataset_61"
"2064","Polyscias elegans",0.41,"AUSTRAITS_dataset_34"
"2065","Polyscias elegans",0.413,"AUSTRAITS_dataset_34"
"387","Pseudoweinmannia lachnocarpa",0.727,"AUSTRAITS_dataset_49"
"2075","Pseudoweinmannia lachnocarpa",0.758,"AUSTRAITS_dataset_34"
