"","Taxon","leaf.area","source"
"869","Capparis arborea",33.12,"AUSTRAITS_dataset_68"
"460","Capparis velutina",18.2,"AUSTRAITS_dataset_49"
"516","Capparis velutina",19.6,"AUSTRAITS_dataset_49"
"446","Carex appressa",17.48,"AUSTRAITS_dataset_68"
"650","Carex appressa",36,"AUSTRAITS_dataset_10"
"843","Carex appressa",31.86,"AUSTRAITS_dataset_68"
"69","Carissa ovata",3.75,"AUSTRAITS_dataset_68"
"87","Carissa ovata",4.62,"AUSTRAITS_dataset_49"
"1029","Carissa ovata",46.2,"AUSTRAITS_dataset_6"
"1002","Carronia multisepala",43.4,"AUSTRAITS_dataset_49"
"1041","Carronia multisepala",47.67,"AUSTRAITS_dataset_68"
"757","Castanospermum australe",27.65,"AUSTRAITS_dataset_32"
"790","Castanospermum australe",29.333,"AUSTRAITS_dataset_68"
"813","Castanospermum australe",30.625,"AUSTRAITS_dataset_49"
"1160","Castanospermum australe",483.9,"AUSTRAITS_dataset_68"
"1384","Castanospermum australe",27.651,"AUSTRAITS_dataset_67"
"3","Casuarina cunninghamiana",0.001,"AUSTRAITS_dataset_49"
"4","Casuarina cunninghamiana",0.019,"AUSTRAITS_dataset_29"
"9","Casuarina cunninghamiana",0.188,"AUSTRAITS_dataset_8"
"11","Casuarina cunninghamiana",0.19,"AUSTRAITS_dataset_68"
"47","Cayratia clematidea",2.7,"AUSTRAITS_dataset_68"
"111","Cayratia clematidea",5.21,"AUSTRAITS_dataset_68"
"134","Cayratia clematidea",5.9,"Gallagher_field_workPHD"
"162","Cayratia clematidea",6.75,"AUSTRAITS_dataset_68"
"173","Cayratia clematidea",7.15,"Gallagher_field_workPHD"
"208","Cayratia clematidea",8.75,"AUSTRAITS_dataset_49"
"496","Cinnamomum oliveri",19.17,"AUSTRAITS_dataset_68"
"793","Cinnamomum oliveri",29.4,"AUSTRAITS_dataset_49"
"318","Cissus antarctica",12.44,"Gallagher_field_workPHD"
"399","Cissus antarctica",35.379,"AUSTRAITS_dataset_52"
"472","Cissus antarctica",18.67,"AUSTRAITS_dataset_68"
"816","Cissus antarctica",30.9,"AUSTRAITS_dataset_68"
"829","Cissus antarctica",31.53,"AUSTRAITS_dataset_68"
"855","Cissus antarctica",32.34,"AUSTRAITS_dataset_68"
"913","Cissus antarctica",35.38,"AUSTRAITS_dataset_68"
"961","Cissus antarctica",39.16,"AUSTRAITS_dataset_68"
"966","Cissus antarctica",39.61,"Gallagher_field_workPHD"
"969","Cissus antarctica",39.9,"AUSTRAITS_dataset_49"
"991","Cissus antarctica",41.63,"AUSTRAITS_dataset_68"
"1024","Cissus antarctica",45.46,"AUSTRAITS_dataset_68"
"1086","Cissus antarctica",65.048,"AUSTRAITS_dataset_52"
"1098","Cissus antarctica",65.05,"AUSTRAITS_dataset_68"
"145","Cissus hypoglauca",12.59,"AUSTRAITS_dataset_52"
"303","Cissus hypoglauca",11.438,"AUSTRAITS_dataset_68"
"304","Cissus hypoglauca",11.44,"Gallagher_field_workPHD"
"392","Cissus hypoglauca",15.67,"Gallagher_field_workPHD"
"396","Cissus hypoglauca",15.84,"Gallagher_field_workPHD"
"415","Cissus hypoglauca",16.5,"AUSTRAITS_dataset_68"
"427","Cissus hypoglauca",16.94,"Gallagher_field_workPHD"
"428","Cissus hypoglauca",16.942,"AUSTRAITS_dataset_68"
"452","Cissus hypoglauca",17.836,"AUSTRAITS_dataset_68"
"453","Cissus hypoglauca",17.84,"Gallagher_field_workPHD"
"468","Cissus hypoglauca",18.61,"AUSTRAITS_dataset_68"
"556","Cissus hypoglauca",2.816,"AUSTRAITS_dataset_10"
"616","Cissus hypoglauca",22.969,"AUSTRAITS_dataset_49"
"758","Cissus hypoglauca",0.181,"AUSTRAITS_dataset_3"
"771","Cissus hypoglauca",28.16,"AUSTRAITS_dataset_68"
"784","Cissus hypoglauca",28.756,"AUSTRAITS_dataset_52"
"905","Citronella moorei",35,"AUSTRAITS_dataset_68"
"934","Citronella moorei",36.75,"AUSTRAITS_dataset_49"
"313","Cleistanthus cunninghamii",12,"AUSTRAITS_dataset_68"
"330","Cleistanthus cunninghamii",12.6,"AUSTRAITS_dataset_49"
"621","Cleistanthus cunninghamii",23.15,"AUSTRAITS_dataset_68"
"622","Cleistanthus cunninghamii",23.153,"AUSTRAITS_dataset_28"
"623","Cleistanthus cunninghamii",23.23,"Gallagher_field_workPHD"
"700","Cleistanthus cunninghamii",25.488,"AUSTRAITS_dataset_28"
"996","Cleistanthus cunninghamii",42.292,"AUSTRAITS_dataset_28"
"215","Clematis aristata",9,"AUSTRAITS_dataset_68"
"276","Clematis aristata",10.5,"AUSTRAITS_dataset_49"
"657","Clematis aristata",24.31,"Gallagher_field_workPHD"
"658","Clematis aristata",24.312,"AUSTRAITS_dataset_68"
"878","Clematis aristata",34,"AUSTRAITS_dataset_68"
"881","Clematis aristata",34.07,"AUSTRAITS_dataset_8"
"1053","Clematis aristata",49.66,"Gallagher_field_workPHD"
"1414","Clematis aristata",0.9,"AUSTRAITS_dataset_10"
"1095","Clerodendrum floribundum",64.969,"AUSTRAITS_dataset_49"
"1103","Clerodendrum floribundum",66.413,"AUSTRAITS_dataset_56"
"1045","Commersonia bartramia",47.84,"Gallagher_field_workPHD"
"1049","Commersonia bartramia",49,"AUSTRAITS_dataset_68"
"1084","Commersonia bartramia",61.25,"AUSTRAITS_dataset_49"
"517","Croton acronychioides",19.6,"AUSTRAITS_dataset_49"
"454","Cryptocarya bidwillii",17.85,"AUSTRAITS_dataset_49"
"363","Cryptocarya glaucescens",24,"AUSTRAITS_dataset_10"
"456","Cryptocarya glaucescens",18,"AUSTRAITS_dataset_68"
"491","Cryptocarya glaucescens",19,"AUSTRAITS_dataset_68"
"534","Cryptocarya glaucescens",19.95,"AUSTRAITS_dataset_49"
"762","Cryptocarya glaucescens",27.93,"AUSTRAITS_dataset_68"
"844","Cryptocarya glaucescens",31.867,"AUSTRAITS_dataset_8"
"860","Cryptocarya glaucescens",32.706,"AUSTRAITS_dataset_8"
"861","Cryptocarya glaucescens",32.71,"AUSTRAITS_dataset_68"
"298","Cryptocarya laevigata",11.33,"AUSTRAITS_dataset_68"
"736","Cryptocarya laevigata",26.82,"AUSTRAITS_dataset_32"
"740","Cryptocarya laevigata",26.906,"AUSTRAITS_dataset_49"
"1385","Cryptocarya laevigata",26.815,"AUSTRAITS_dataset_67"
"814","Cryptocarya macdonaldii",30.8,"AUSTRAITS_dataset_49"
"457","Cryptocarya obovata",18,"AUSTRAITS_dataset_68"
"486","Cryptocarya obovata",18.9,"AUSTRAITS_dataset_49"
"360","Cryptocarya sclerophylla",14,"AUSTRAITS_dataset_49"
"384","Cryptocarya triplinervis",15,"AUSTRAITS_dataset_68"
"395","Cryptocarya triplinervis",15.81,"Gallagher_field_workPHD"
"733","Cupaniopsis anacardioides",26.667,"AUSTRAITS_dataset_68"
"810","Cupaniopsis anacardioides",30.13,"Gallagher_field_workPHD"
"890","Cupaniopsis anacardioides",34.54,"Gallagher_field_workPHD"
"899","Cupaniopsis anacardioides",34.79,"Gallagher_field_workPHD"
"936","Cupaniopsis anacardioides",37.013,"AUSTRAITS_dataset_56"
"968","Cupaniopsis anacardioides",39.88,"Gallagher_field_workPHD"
"989","Cupaniopsis anacardioides",41.398,"AUSTRAITS_dataset_68"
"639","Cupaniopsis newmanii",23.75,"AUSTRAITS_dataset_68"
"681","Cupaniopsis newmanii",24.938,"AUSTRAITS_dataset_49"
"394","Cupaniopsis serrata",15.75,"AUSTRAITS_dataset_49"
"589","Cyclophyllum coprosmoides",21.788,"AUSTRAITS_dataset_49"
"504","Daphnandra apatela",19.25,"AUSTRAITS_dataset_68"
"541","Daphnandra apatela",20.213,"AUSTRAITS_dataset_49"
"331","Daphnandra tenuipes",12.75,"AUSTRAITS_dataset_68"
"350","Daphnandra tenuipes",13.388,"AUSTRAITS_dataset_49"
"190","Derris involuta",8.313,"AUSTRAITS_dataset_49"
"185","Dioscorea transversa",8.03,"AUSTRAITS_dataset_68"
"186","Dioscorea transversa",8.035,"AUSTRAITS_dataset_8"
"333","Dioscorea transversa",12.777,"AUSTRAITS_dataset_8"
"334","Dioscorea transversa",12.78,"AUSTRAITS_dataset_68"
"391","Dioscorea transversa",15.65,"Gallagher_field_workPHD"
"435","Dioscorea transversa",17.12,"AUSTRAITS_dataset_68"
