"","clim_dnrg","clim_isot","clim_pcld","clim_pdmt","clim_pdry","clim_prec","clim_psea","clim_pwet","clim_pwmt","clim_pwrm","clim_tavg","clim_tcld","clim_tdry","clim_tmax","clim_tmin","clim_trng","clim_tsea","clim_twet","clim_twrm","CV","MDFAnnZer","CVAnnZer","MDFMDFWet","MDFMDFDry","CVMDFWet","CVMDFDry","HSPeak","HSMeanDur","MDFAnnHSNum","CVAnnHSNum","CVAnnHSPeak","CVAnnHSMeanDur","LSPeak","LSMeanDur","MDFAnnLSNum","CVAnnLSNum","CVAnnLSPeak","CVAnnLSMeanDur","MRateRise","MRateFall","CVAnnMRateRise","CVAnnMRateFall","BFI","CVAnnBFI","PS1YrARI","PS2YrARI","PS10YrARI","C_MDFM","M_MDFM","C_MinM","M_MinM","C_MaxM","M_MaxM"
"clim_tavg",-0.399716743892452,0.247086215079241,0.111437776458476,0.202251537784535,0.142358555798117,0.0403800907123135,-0.407957825398922,0.0347303367303884,0.0962728439662816,0.0283567489720354,1,0.942241864231629,0.9658638450874,0.459707406163809,0.810836281760435,-0.444541101735904,-0.480703595971468,0.655103182648286,0.912491535503015,0.33898320321962,0.146440763884107,-0.0928134119122884,0.354185843349337,-0.0700432273120453,0.630158667427191,0.320992296764302,0.154413743364294,-0.104957884286424,0.169646555088397,-0.197228882318683,0.41869570339383,-0.0566352209099552,-0.153440877796292,0.553809450858652,-0.373059378350247,-0.105302520623878,0.143799805052749,-0.373634002848284,0.171253924243936,0.174051814098138,-0.0439474419348226,0.0516032309342285,-0.444511469366727,0.302741895715936,-0.0234849970671036,0.0386497975129973,0.19107903305063,-0.0793870869875041,-0.177522773492963,-0.249534477350643,-0.152928315243517,0.401646245390143,-0.0540599556039858
"clim_tcld",-0.680371951957226,0.018479199987929,0.414908714267293,0.503678064676569,0.438830558197911,0.351058930885092,-0.465554353366127,0.336906568260777,0.404940830859896,0.33655437420001,0.942241864231629,1,0.996224356967445,0.136366234116969,0.957679999891224,-0.717710661833983,-0.746455911779157,0.397553985778879,0.7233432628486,0.233424513130414,0.0336742816176456,-0.0413314375796834,0.305588377343111,-0.106411790319589,0.571569070925718,0.17348269148361,0.0498551895092236,-0.192407210032982,0.290498794848729,-0.2404619304597,0.335391427300788,-0.170284059756573,-0.0801510103192116,0.424140331904059,-0.294037221807994,-0.251456355116542,0.109011582481805,-0.495790772505625,0.11196095636275,0.121437640291275,-0.138458263538029,-0.0354402168483601,-0.381719408563637,0.0835528812456814,0.0229095858373845,0.0507682694946942,0.154714478356404,-0.272735192400899,-0.0725060463919842,-0.389229102707789,0.00464242070039213,0.236699264446239,0.0980583366043407
"clim_tdry",-0.618865491764124,0.0840142848175824,0.339766077979283,0.432818857734674,0.36605661159039,0.27500026120345,-0.44689781469356,0.264270582263503,0.333122106201891,0.264573821806453,0.9658638450874,0.996224356967445,1,0.216931366961269,0.93288221713535,-0.659278112305006,-0.690476877572057,0.469574124298611,0.775780775037018,0.268030887055293,0.0661806887955726,-0.0591012051811254,0.328141748847136,-0.0990514720161906,0.60029122118698,0.217036112066804,0.0811017599195346,-0.177888451661211,0.265392536830928,-0.23827539322731,0.363042685570663,-0.144228299159928,-0.0921358016868265,0.46840536699151,-0.328751201719449,-0.209857371260471,0.129947929787461,-0.465324750547052,0.130122836873929,0.13326412824259,-0.12113573916672,-0.0161897513922067,-0.400489109016559,0.136152430259741,0.00128354210669188,0.0400202359312856,0.159960937220224,-0.233356214222103,-0.108684524842406,-0.362025130982594,-0.0480563580236215,0.273043455159366,0.0549448132907944
"clim_tmax",0.623678367237197,0.705013988229813,-0.77888699732279,-0.740998785358209,-0.753372951089243,-0.815461754972053,0.0444873128465804,-0.794394528697576,-0.789443188549164,-0.807923814072649,0.459707406163809,0.136366234116969,0.216931366961269,1,-0.139698496651369,0.587963233137465,0.555125158400143,0.893413942104233,0.780000181835618,0.368885308383468,0.3438142579605,-0.146645852450236,0.241171375206131,0.0857827622330855,0.347185381650383,0.477498845367118,0.30496888348624,0.212918774868855,-0.275444559794338,0.0633557126490141,0.335762266288746,0.294657481155773,-0.233862147610922,0.506569992195376,-0.331377012646127,0.372174879441309,0.154802387296146,0.210571162988709,0.193786582084883,0.171285005815525,0.231201584052647,0.2356599053526,-0.279855774696965,0.666246740615445,-0.144327013686842,-0.0439446557863561,0.136336102532737,0.491501046466165,-0.322769663754985,0.306302447006695,-0.4572945983125,0.539324123627613,-0.414185518376658
"clim_tmin",-0.858515723520422,-0.207169190684529,0.632974927986188,0.708809693597103,0.651045029664816,0.579474931423474,-0.453457994974111,0.563526205722243,0.628368526204233,0.567850187409638,0.810836281760435,0.957679999891224,0.93288221713535,-0.139698496651369,1,-0.883093351643081,-0.896464178527792,0.147751585399255,0.504898410755718,0.124211185932297,-0.0721274471771598,0.00148196726936085,0.26718396993233,-0.116592717184561,0.47059576854951,0.02838966920374,-0.0446521606172521,-0.263167756524502,0.389048910546745,-0.279151943087779,0.229073955301978,-0.282647245273001,-0.00416729986089349,0.300048581736861,-0.236917958811698,-0.339960115893689,0.063262064055611,-0.521890788717789,0.0611595756003389,0.0653935623649022,-0.215756602706475,-0.129854612116507,-0.304648431514233,-0.115858206160961,0.0492227644221798,0.0418512938363382,0.0864557843428681,-0.417137345975329,0.0315515213777763,-0.483958351481934,0.126688038597018,0.0682759056306195,0.225317463051134
"clim_trng",0.996845979349515,0.503302642491003,-0.886146792266038,-0.930142979998752,-0.888818562966389,-0.859773468610363,0.391508977377821,-0.836762417152844,-0.887385811343887,-0.846705435967923,-0.444541101735904,-0.717710661833983,-0.659278112305006,0.587963233137465,-0.883093351643081,1,0.995362480873991,0.302640678724116,-0.0428522965345333,0.0733261801331852,0.221834980845608,-0.0706977507314479,-0.103984514774189,0.135891947629146,-0.219917106318683,0.203068429362688,0.18098391842698,0.315871423749357,-0.448330973209183,0.258059364349894,-0.0280311514664183,0.370515583792115,-0.107409763669598,-0.0050740579806446,0.0365169166389839,0.454065558835883,0.0216734649670228,0.52610944766277,0.0418634559032032,0.0277424629875095,0.285804581283353,0.217743972163171,0.116258773897236,0.410341241201002,-0.108598385039583,-0.0550111140635477,-0.00602351747022694,0.573653395259273,-0.178716785274837,0.540484130564099,-0.320177418551425,0.199780872205427,-0.380320643803337
"clim_tsea",0.985584240498014,0.430007166833216,-0.856767027091161,-0.913819181309972,-0.85863064886091,-0.832334848800716,0.405521247542639,-0.807095251389739,-0.864927499981966,-0.821159943780579,-0.480703595971468,-0.746455911779157,-0.690476877572057,0.555125158400143,-0.896464178527792,0.995362480873991,1,0.253075073621527,-0.0805340629858783,0.0498197059595924,0.195184052501005,-0.0675051107619025,-0.100572177647825,0.1471819842502,-0.257227755107678,0.169692198819387,0.164666239255781,0.301479485269591,-0.423922063432078,0.24353972267527,-0.0572973993551547,0.330743682628681,-0.100589279851848,-0.0208026347049574,0.0380487370514656,0.443904209565097,-0.00884553496276801,0.552100740230682,0.0405793716722234,0.0252569738231904,0.277027311444605,0.189820969804805,0.121737839708775,0.378121425451598,-0.0992094657872162,-0.0554149719984126,-0.0298310209847193,0.561187091858366,-0.148162245184866,0.528113033109894,-0.300630923389762,0.178051660275854,-0.351663812501734
"clim_twet",0.354124666796937,0.735127301881482,-0.648981330588665,-0.520701131402783,-0.621246081276958,-0.687677396773119,-0.169249401636484,-0.691971161970237,-0.63338723433987,-0.667585180628234,0.655103182648286,0.397553985778879,0.469574124298611,0.893413942104233,0.147751585399255,0.302640678724116,0.253075073621527,1,0.856138505120153,0.403600810426771,0.292816709843795,-0.0656493012872638,0.24024417930214,0.0488446792264129,0.555156432344837,0.511665671627441,0.281237376555494,0.171839388508718,-0.246512803079353,0.0676160280613379,0.460511828140267,0.301812195792688,-0.196065603939626,0.592941563461098,-0.475201652592679,0.348196929961098,0.228835335256846,0.0898781655489163,0.131058551346094,0.108396380199992,0.254261133997304,0.266771952605378,-0.289672619371943,0.583137756926482,-0.154937006061201,-0.0172940681511712,0.23524516008601,0.311540912260639,-0.411855058939921,0.119784330394746,-0.46964177927576,0.446850292424232,-0.360863363247212
"clim_twrm",0.00273759389861219,0.471441682852777,-0.265849131024521,-0.193907658489501,-0.231892384729031,-0.33667019111932,-0.274800013758147,-0.331211291493061,-0.289285138846505,-0.346949918249728,0.912491535503015,0.7233432628486,0.775780775037018,0.780000181835618,0.504898410755718,-0.0428522965345333,-0.0805340629858783,0.856138505120153,1,0.39973235225187,0.249306773267079,-0.128697759437542,0.354574218153653,-0.00575103509744812,0.58812485723336,0.433027024468743,0.244344492031466,0.0205285107614181,0.000745438510136249,-0.11134030831678,0.441610335111734,0.0824822550290202,-0.220551758572144,0.612711261883232,-0.398953683167504,0.0818598283031625,0.151185177975695,-0.168349781921958,0.210675621451259,0.207980499537049,0.0772627036621761,0.139138602486321,-0.446331699682966,0.514391990558682,-0.0668723844345775,0.0174193856399168,0.195879119060745,0.171544836939261,-0.262830761331078,-0.0366645916371326,-0.307358569484944,0.536168152862534,-0.2178726374976
"CV",0.0930652780688829,0.25638663001856,-0.237494253205518,-0.173955557970953,-0.21267292776724,-0.254053727073391,-0.0735491948676685,-0.238893169801135,-0.208216055852784,-0.238101181769844,0.33898320321962,0.233424513130414,0.268030887055293,0.368885308383468,0.124211185932297,0.0733261801331852,0.0498197059595924,0.403600810426771,0.39973235225187,1,0.142901795450854,-0.29425491523061,0.323353810461603,-0.588496414290961,0.700141629171697,0.869511774725544,0.949626373466822,-0.608164611589799,0.25382946298,-0.481761347569736,0.858151452585323,-0.30625278721283,0.333387112836476,0.719044733136778,-0.24881602880193,-0.0342698929506935,-0.21446915055076,0.241936484605152,0.762967221847339,0.634857458994684,0.157713934043486,0.493741273328304,-0.80222314958526,0.686882156689511,0.318820372813872,0.554189026163131,0.722564717863744,0.0289405579640763,-0.402543633029602,-0.364978961135365,-0.359166033856898,0.441514799079998,-0.569857701061023
