"","Taxon","SLA","source"
"1283","Cupaniopsis anacardioides",12.5250501002004,"Gallagher_field_workPHD"
"1284","Cupaniopsis anacardioides",11.5700566932778,"Gallagher_field_workPHD"
"1285","Cupaniopsis anacardioides",10.0735368187771,"Gallagher_field_workPHD"
"1286","Cupaniopsis anacardioides",9.94134605825629,"Gallagher_field_workPHD"
"1406","Cupaniopsis anacardioides",9.287,"AUSTRAITS_dataset_52"
"1414","Cupaniopsis anacardioides",12.14,"AUSTRAITS_dataset_52"
"184","Dioscorea transversa",44.244,"AUSTRAITS_dataset_8"
"331","Dioscorea transversa",51.646,"AUSTRAITS_dataset_8"
"1287","Dioscorea transversa",40.3388463089956,"Gallagher_field_workPHD"
"1289","Dioscorea transversa",39.9201596806387,"Gallagher_field_workPHD"
"1290","Dioscorea transversa",39.4321766561514,"Gallagher_field_workPHD"
"1291","Dioscorea transversa",35.2236703064459,"Gallagher_field_workPHD"
"1382","Dioscorea transversa",4.7945,"Gallagher_field_workPHD"
"13","Diospyros australis",8.75,"AUSTRAITS_dataset_3"
"295","Diospyros australis",6.71,"AUSTRAITS_dataset_10"
"361","Diospyros australis",6.065,"AUSTRAITS_dataset_52"
"506","Diospyros australis",7.395,"AUSTRAITS_dataset_8"
"523","Diospyros australis",6.576,"AUSTRAITS_dataset_8"
"602","Diospyros australis",8.291,"AUSTRAITS_dataset_52"
"1292","Diospyros australis",7.82227784730914,"Gallagher_field_workPHD"
"1293","Diospyros australis",7.36756796581449,"Gallagher_field_workPHD"
"1294","Diospyros australis",7.23327305605787,"Gallagher_field_workPHD"
"1357","Diospyros australis",6.17283950617284,"AUSTRAITS_dataset_32"
"1295","Diospyros pentamera",9.47059380623165,"Gallagher_field_workPHD"
"1296","Diospyros pentamera",8.45880561664693,"Gallagher_field_workPHD"
"1297","Diospyros pentamera",8.40477391158178,"Gallagher_field_workPHD"
"1298","Diospyros pentamera",7.06065099202146,"Gallagher_field_workPHD"
"1300","Drypetes deplanchei",12.0148984741079,"Gallagher_field_workPHD"
"1301","Drypetes deplanchei",10.3852944230969,"Gallagher_field_workPHD"
"1302","Drypetes deplanchei",9.44733112895607,"Gallagher_field_workPHD"
"1303","Drypetes deplanchei",9.38174312787316,"Gallagher_field_workPHD"
"1304","Dysoxylum rufum",24.5459008345606,"Gallagher_field_workPHD"
"753","Elaeocarpus grandis",8.19672131147541,"AUSTRAITS_dataset_32"
"1399","Elaeocarpus grandis",19.6078,"AUSTRAITS_dataset_32"
"1305","Elaeocarpus obovatus",13.1319763624425,"Gallagher_field_workPHD"
"1306","Elaeocarpus obovatus",8.55139387720198,"Gallagher_field_workPHD"
"1307","Embelia australiana",13.5007425408397,"Gallagher_field_workPHD"
"1308","Embelia australiana",13.2345156167284,"Gallagher_field_workPHD"
"1309","Embelia australiana",12.187690432663,"Gallagher_field_workPHD"
"1311","Embelia australiana",12.1773015099854,"Gallagher_field_workPHD"
"1368","Embelia australiana",1.2775,"Gallagher_field_workPHD"
"629","Endiandra discolor",7.6057195010648,"AUSTRAITS_dataset_39"
"1312","Endiandra discolor",11.0497237569061,"Gallagher_field_workPHD"
