"","Taxon","seed.mass","source"
"2123","Senna sulfurea",28.81,"AUSTRAITS_dataset_53"
"173","Smilax australis",29.809,"AUSTRAITS_dataset_10"
"2132","Smilax australis",40.76,"AUSTRAITS_dataset_6"
"2134","Solanum chrysotrichum",1.388,"AUSTRAITS_dataset_53"
"1521","Solanum mauritianum",1.03,"AUSTRAITS_dataset_52"
"2136","Solanum mauritianum",1.11,"AUSTRAITS_dataset_53"
"1522","Solanum seaforthianum",2.32,"AUSTRAITS_dataset_52"
"2138","Solanum seaforthianum",1.91,"AUSTRAITS_dataset_53"
"2139","Solanum torvum",1,"AUSTRAITS_dataset_53"
"1100","Stephania japonica",23.562,"AUSTRAITS_dataset_49"
"1110","Stephania japonica",18.581,"AUSTRAITS_dataset_10"
"2144","Stephania japonica",17.52,"AUSTRAITS_dataset_53"
"2145","Stephania japonica",19.72,"AUSTRAITS_dataset_6"
"1524","Streblus brunonianus",12,"AUSTRAITS_dataset_52"
"1413","Synoum glandulosum",226.917,"AUSTRAITS_dataset_10"
"2157","Synoum glandulosum",142.822,"AUSTRAITS_dataset_11"
"2163","Synoum glandulosum",189.67,"AUSTRAITS_dataset_53"
"2169","Syzygium australe",259.335,"AUSTRAITS_dataset_53"
"2170","Syzygium australe",259.34,"Gallagher_field_workPHD"
"2179","Syzygium luehmannii",20.2,"AUSTRAITS_dataset_53"
"2184","Syzygium oleosum",216.49,"AUSTRAITS_dataset_53"
"2187","Tabernaemontana pandacaqui",23.597,"AUSTRAITS_dataset_53"
"2189","Tecoma capensis",2.148,"AUSTRAITS_dataset_53"
"2191","Tecoma stans",9,"AUSTRAITS_dataset_53"
"1526","Toona ciliata",2,"AUSTRAITS_dataset_52"
"2201","Trema tomentosa",2.2,"AUSTRAITS_dataset_53"
"2202","Trema tomentosa",4.86,"Gallagher_field_workPHD"
"2272","Tristaniopsis laurina",10.25641026,"Floyd 1989"
"2210","Trophis scandens",80.55,"Gallagher_field_workPHD"
"2213","Wikstroemia indica",17,"AUSTRAITS_dataset_53"
"801","Wilkiea huegeliana",169.46,"AUSTRAITS_dataset_10"
"2223","Wilkiea huegeliana",92.84,"Gallagher_field_workPHD"
