"","Taxon","flowering.duration","leaf.area","maximum.height","seed.mass","SLA","wood.density"
"108","Syzygium.oleosum",10,19.3494444444444,17,198.320896260964,11.3613776953737,0.751443983333333
"109","Toona.ciliata",4,30.40175,45,2,14.9328149343663,0.397125
"110","Trema.tomentosa",4,21.958,6,3.53,27.5435325287312,0.3565524266
"111","Tristaniopsis.laurina",2,14.2245,30,10.25641026,7.2051378275,0.76154036275
"112","Trophis.scandens",12,24.6769,NA,80.55,10.4958516872389,0.6589391665
"113","Wikstroemia.indica",2,5.20666666666667,4,17,25.1572327044025,0.58
"114","Wilkiea.huegeliana",3,38.0299375,13.5,131.15,9.96073039999596,0.62095
"115","Acacia.bakeri",3,16.6565,40,55.2395,NA,0.7725
"116","Ailanthus.triphysa",NA,7.1875,45,37.699,NA,0.3705
"117","Alchornea.ilicifolia",NA,17.385,7,19.652830226593,NA,NA
"118","Alectryon.tomentosus",4,23.625,20,23.7102552931315,NA,NA
"119","Alyxia.ruscifolia",9,3.63333333333333,6,142.89354273591,NA,NA
"120","Araucaria.cunninghamii",NA,0.4845,50,NA,NA,0.448666666666667
"121","Archidendron.muellerianum",2,21.8165,20,NA,NA,NA
"122","Ardisia.crenata",NA,14.875,2,221,NA,NA
"123","Argophyllum.nullumense",1,24.5,8,NA,NA,NA
"124","Aristolochia.elegans",6,25.025,3,2.104,NA,NA
"125","Arytera.distylis",2,10.25,20,NA,NA,0.6321
"126","Atalaya.salicifolia",NA,13.781,12,33.27,NA,0.724
"127","Atractocarpus.chartaceus",4,11.96,4,NA,NA,NA
"128","Auranticarpa.rhombifolia",6,23.8,40,NA,NA,0.700633333333333
"129","Bridelia.exaltata",NA,20.3275,35,NA,NA,0.711666666666667
"130","Bridelia.leichhardtii",NA,10.264,15,NA,NA,NA
"131","Bursaria.incana",3,3.2375,10,2.927,NA,0.74
"132","Callerya.megasperma",3,9.72825,20,7385.3471161391,NA,NA
"133","Canarium.australasicum",NA,23.8,40,678.88,NA,0.584
"134","Capparis.velutina",NA,18.9,15,39.27,NA,NA
"135","Carissa.ovata",3,4.185,4,50.76,NA,NA
"136","Carronia.multisepalea",NA,45.535,15,62.832,NA,0.5805
"137","Cinnamomum.oliveri",2,24.285,25,NA,NA,0.473
"138","Citronella.moorei",5,35.875,40,NA,NA,0.576
"139","Clerodendrum.floribundum",5,65.691,13,43.7,NA,NA
"140","Croton.acronychioides",5,19.6,14,NA,NA,NA
"141","Cryptocarya.bidwillii",3,17.85,20,NA,NA,0.645
"142","Cryptocarya.macdonaldii",NA,30.8,30,NA,NA,NA
"143","Cryptocarya.sclerophylla",NA,14,15,NA,NA,NA
"144","Cupaniopsis.newmanii",4,24.344,12,NA,NA,NA
"145","Cupaniopsis.serrata",NA,15.75,9,293.215,NA,NA
