Time,143901A,,143901A,,143901A,,
12/03/2002 0:00,0.744,60,0.487,60,1.002,60,
13/03/2002 0:00,2.132,60,1.002,60,2.381,60,
14/03/2002 0:00,2.381,20,2.381,20,2.381,20,
15/03/2002 0:00,2.381,20,2.381,20,2.381,20,
16/03/2002 0:00,2.373,20,2.33,20,2.381,20,
17/03/2002 0:00,2.271,20,2.251,20,2.33,20,
18/03/2002 0:00,2.251,20,2.251,20,2.251,20,
19/03/2002 0:00,2.251,20,2.251,20,2.251,20,
20/03/2002 0:00,1.519,60,1.002,60,2.251,60,
21/03/2002 0:00,1.024,60,0.543,60,1.104,60,
22/03/2002 0:00,0.272,60,0.123,60,0.543,60,
23/03/2002 0:00,0.032,60,0,60,0.123,60,
24/03/2002 0:00,0,9,0,9,0,9,
25/03/2002 0:00,0,9,0,9,0,9,
26/03/2002 0:00,0,9,0,9,0,9,
27/03/2002 0:00,0,60,0,60,0,60,
28/03/2002 0:00,0.646,60,0,60,1.206,60,
29/03/2002 0:00,1.777,60,1.206,60,3.073,60,
30/03/2002 0:00,3.35,60,1.322,60,4.711,60,
31/03/2002 0:00,2.304,60,1.322,60,5.042,60,
1/04/2002 0:00,6.163,20,5.042,20,6.879,20,
2/04/2002 0:00,4.473,20,3.878,20,5.558,20,
3/04/2002 0:00,2.897,20,2.159,20,3.878,20,
4/04/2002 0:00,1.764,60,1.439,60,2.159,60,
5/04/2002 0:00,2.311,60,1.842,60,2.781,60,
6/04/2002 0:00,3.077,20,2.781,20,3.373,20,
7/04/2002 0:00,3.293,20,2.781,20,3.373,20,
8/04/2002 0:00,2.516,20,2.251,20,2.781,20,
9/04/2002 0:00,1.845,60,1.439,60,2.251,60,
10/04/2002 0:00,1.5,60,1.439,60,1.562,60,
11/04/2002 0:00,1.632,60,1.562,60,1.702,60,
12/04/2002 0:00,0.937,60,0.407,60,1.57,60,
13/04/2002 0:00,0.611,60,0.297,60,1.028,60,
14/04/2002 0:00,1.514,60,1.028,60,1.999,60,
15/04/2002 0:00,1.955,60,1.562,60,1.999,60,
16/04/2002 0:00,2.303,60,1.562,60,2.92,60,
17/04/2002 0:00,2.983,20,2.92,20,3.54,20,
18/04/2002 0:00,10.439,20,3.54,20,15.935,20,
19/04/2002 0:00,10.743,20,8.575,20,12.595,20,
20/04/2002 0:00,7.039,20,5.042,20,8.575,20,
21/04/2002 0:00,4.037,20,3.221,20,5.042,20,
22/04/2002 0:00,2.801,20,2.381,20,3.221,20,
23/04/2002 0:00,2.19,60,1.999,60,2.381,60,
24/04/2002 0:00,1.191,60,0.431,60,1.999,60,
25/04/2002 0:00,0.364,60,0.297,60,0.431,60,
26/04/2002 0:00,0.453,60,0.297,60,0.609,60,
27/04/2002 0:00,0.657,60,0.609,60,0.747,60,
28/04/2002 0:00,0.747,60,0.747,60,0.747,60,
29/04/2002 0:00,0.747,60,0.747,60,0.747,60,
30/04/2002 0:00,1.035,60,0.747,60,1.322,60,
1/05/2002 0:00,5.741,60,1.322,60,7.916,60,
2/05/2002 0:00,5.914,20,5.042,20,7.075,20,
3/05/2002 0:00,7.341,20,5.042,20,10.235,20,
4/05/2002 0:00,9.522,20,8.81,20,10.235,20,
5/05/2002 0:00,45.651,20,8.81,20,92.711,20,
6/05/2002 0:00,36.287,20,26.323,20,52.956,20,
7/05/2002 0:00,23.025,20,21.19,20,26.323,20,
8/05/2002 0:00,31.13,20,21.19,20,38.841,20,
9/05/2002 0:00,19.062,20,14.928,20,23.667,20,
10/05/2002 0:00,13.739,20,12.595,20,15.55,20,
11/05/2002 0:00,17.473,20,12.885,20,21.659,20,
12/05/2002 0:00,17.804,20,12.885,20,21.659,20,
13/05/2002 0:00,11.119,20,9.979,20,12.885,20,
14/05/2002 0:00,8.871,20,6.686,20,10.741,20,
15/05/2002 0:00,6.642,20,6.113,20,7.075,20,
16/05/2002 0:00,7.358,20,6.113,20,8.356,20,
17/05/2002 0:00,6.72,20,5.042,20,8.089,20,
18/05/2002 0:00,4.97,20,4.554,20,5.387,20,
19/05/2002 0:00,5.098,20,3.878,20,6.297,20,
20/05/2002 0:00,3.475,20,3.073,20,3.878,20,
21/05/2002 0:00,3.672,20,3.073,20,4.049,20,
22/05/2002 0:00,4.677,20,3.373,20,5.218,20,
23/05/2002 0:00,4.438,20,4.225,20,4.554,20,
24/05/2002 0:00,5.025,20,4.225,20,5.558,20,
25/05/2002 0:00,5.35,20,4.88,20,5.921,20,
26/05/2002 0:00,4.797,20,2.507,20,5.921,20,
27/05/2002 0:00,2.714,20,2.507,20,2.92,20,
28/05/2002 0:00,3.126,20,2.507,20,3.373,20,
29/05/2002 0:00,2.868,20,2.638,20,3.221,20,
30/05/2002 0:00,2.652,20,2.381,20,3.073,20,
31/05/2002 0:00,2.507,20,2.507,20,2.507,20,
1/06/2002 0:00,2.366,60,1.562,60,2.507,60,
2/06/2002 0:00,2.276,60,1.562,60,3.54,60,
3/06/2002 0:00,5.32,20,3.54,20,5.744,20,
4/06/2002 0:00,33.469,20,5.744,20,71.669,20,
5/06/2002 0:00,61.37,20,57.153,20,71.669,20,
6/06/2002 0:00,117.711,20,71.669,20,142.207,20,
7/06/2002 0:00,91.944,20,62.307,20,132.75,20,
8/06/2002 0:00,52.928,20,48.259,20,62.307,20,
9/06/2002 0:00,43.699,20,36.729,20,50.23,20,
10/06/2002 0:00,44.305,20,36.729,20,50.23,20,
11/06/2002 0:00,35.729,20,25.79,20,44.447,20,
12/06/2002 0:00,22.409,20,19.349,20,25.79,20,
13/06/2002 0:00,16.81,20,15.247,20,19.349,20,
14/06/2002 0:00,13.734,20,12.595,20,15.55,20,
15/06/2002 0:00,12.056,20,11.518,20,12.595,20,
16/06/2002 0:00,11.518,20,11.518,20,11.518,20,
17/06/2002 0:00,11.381,20,11.245,20,11.518,20,
18/06/2002 0:00,12.494,20,11.245,20,13.743,20,
19/06/2002 0:00,16.519,20,10.991,20,21.659,20,
20/06/2002 0:00,10.998,20,10.478,20,11.518,20,
21/06/2002 0:00,10.11,20,9.742,20,10.478,20,
22/06/2002 0:00,9.158,20,8.575,20,9.742,20,
23/06/2002 0:00,7.931,20,7.287,20,8.575,20,
24/06/2002 0:00,7.181,20,7.075,20,7.287,20,
25/06/2002 0:00,7.825,20,7.075,20,8.575,20,
26/06/2002 0:00,8.141,20,7.708,20,8.575,20,
27/06/2002 0:00,7.293,20,6.879,20,7.708,20,
28/06/2002 0:00,6.682,20,6.484,20,6.879,20,
29/06/2002 0:00,6.203,20,5.921,20,6.484,20,
30/06/2002 0:00,5.316,20,4.711,20,5.921,20,
1/07/2002 0:00,4.689,20,4.554,20,4.711,20,
2/07/2002 0:00,4.39,20,4.225,20,4.554,20,
3/07/2002 0:00,4.156,20,3.702,20,4.225,20,
4/07/2002 0:00,3.782,20,3.702,20,4.225,20,
5/07/2002 0:00,4.11,20,3.221,20,4.225,20,
6/07/2002 0:00,2.404,60,1.842,60,3.221,60,
7/07/2002 0:00,1.795,60,1.592,60,1.999,60,
8/07/2002 0:00,1.454,60,1.322,60,1.592,60,
9/07/2002 0:00,1.562,60,1.562,60,1.562,60,
10/07/2002 0:00,0.973,60,0.383,60,1.562,60,
11/07/2002 0:00,0.325,60,0.169,60,0.383,60,
12/07/2002 0:00,0.207,60,0.169,60,0.297,60,
13/07/2002 0:00,0.246,60,0.196,60,0.297,60,
14/07/2002 0:00,0.246,60,0.196,60,0.297,60,
15/07/2002 0:00,0.392,60,0.297,60,0.487,60,
16/07/2002 0:00,0.24,60,0,60,0.487,60,
17/07/2002 0:00,0,60,0,60,0,60,
18/07/2002 0:00,0,9,0,9,0,9,
19/07/2002 0:00,0,9,0,9,0,9,
20/07/2002 0:00,0,9,0,9,0,9,
21/07/2002 0:00,0,9,0,9,0,9,
22/07/2002 0:00,0,9,0,9,0,9,
23/07/2002 0:00,0,9,0,9,0,9,
24/07/2002 0:00,0,9,0,9,0,9,
25/07/2002 0:00,0,9,0,9,0,9,
26/07/2002 0:00,0,9,0,9,0,9,
27/07/2002 0:00,0,9,0,9,0,9,
28/07/2002 0:00,0,9,0,9,0,9,
29/07/2002 0:00,0,9,0,9,0,9,
30/07/2002 0:00,0,9,0,9,0,9,
31/07/2002 0:00,0,9,0,9,0,9,
1/08/2002 0:00,0,9,0,9,0,9,
2/08/2002 0:00,0,9,0,9,0,9,
3/08/2002 0:00,0,9,0,9,0,9,
4/08/2002 0:00,0,9,0,9,0,9,
5/08/2002 0:00,0,9,0,9,0,9,
6/08/2002 0:00,0,9,0,9,0,9,
7/08/2002 0:00,0,9,0,9,0,9,
8/08/2002 0:00,0,9,0,9,0,9,
9/08/2002 0:00,0,9,0,9,0,9,
10/08/2002 0:00,0,9,0,9,0,9,
11/08/2002 0:00,0,9,0,9,0,9,
12/08/2002 0:00,0,9,0,9,0,9,
13/08/2002 0:00,0,9,0,9,0,9,
14/08/2002 0:00,0,9,0,9,0,9,
15/08/2002 0:00,0,9,0,9,0,9,
16/08/2002 0:00,0,9,0,9,0,9,
17/08/2002 0:00,0,9,0,9,0,9,
18/08/2002 0:00,0,9,0,9,0,9,
19/08/2002 0:00,0,9,0,9,0,9,
20/08/2002 0:00,0,9,0,9,0,9,
21/08/2002 0:00,0,9,0,9,0,9,
22/08/2002 0:00,0,9,0,9,0,9,
23/08/2002 0:00,9.588,60,0,60,119.214,60,
24/08/2002 0:00,86.735,20,45.672,20,131.62,20,
25/08/2002 0:00,30.861,20,24.714,20,45.672,20,
26/08/2002 0:00,143.258,20,24.714,20,521.812,20,
27/08/2002 0:00,370.265,20,164.936,20,539.052,20,
28/08/2002 0:00,102.223,20,62.307,20,164.936,20,
29/08/2002 0:00,47.385,20,33.466,20,62.307,20,
30/08/2002 0:00,27.696,20,19.792,20,33.466,20,
31/08/2002 0:00,16.97,20,14.338,20,19.792,20,
1/09/2002 0:00,12.249,20,9.742,20,14.338,20,
2/09/2002 0:00,10.59,20,9.262,20,12.325,20,
3/09/2002 0:00,8.064,20,7.075,20,9.262,20,
4/09/2002 0:00,8.264,20,7.075,20,9.742,20,
5/09/2002 0:00,6.78,20,6.484,20,7.075,20,
6/09/2002 0:00,7.245,20,6.297,20,8.575,20,
7/09/2002 0:00,5.928,20,5.558,20,6.297,20,
8/09/2002 0:00,5.388,20,5.218,20,5.558,20,
9/09/2002 0:00,4.722,20,4.225,20,5.218,20,
10/09/2002 0:00,4.586,20,2.638,20,5.921,20,
11/09/2002 0:00,2.318,60,1.999,60,2.638,60,
12/09/2002 0:00,1.661,60,1.322,60,1.999,60,
13/09/2002 0:00,1.264,60,1.206,60,1.322,60,
14/09/2002 0:00,1.104,60,1.002,60,1.206,60,
15/09/2002 0:00,1.572,60,1.002,60,2.251,60,
16/09/2002 0:00,0.77,60,0,60,1.562,60,
17/09/2002 0:00,0.3,60,0,60,0.83,60,
18/09/2002 0:00,1.331,60,0.83,60,1.999,60,
19/09/2002 0:00,1.06,60,0.913,60,1.206,60,
20/09/2002 0:00,1.018,60,0.83,60,1.206,60,
21/09/2002 0:00,2.073,60,0.83,60,3.373,60,
22/09/2002 0:00,1.313,60,0.83,60,1.999,60,
23/09/2002 0:00,0.606,60,0.383,60,0.83,60,
24/09/2002 0:00,0.573,60,0,60,1.104,60,
25/09/2002 0:00,0,60,0,60,0,60,
26/09/2002 0:00,0,9,0,9,0,9,
27/09/2002 0:00,0,9,0,9,0,9,
28/09/2002 0:00,0,9,0,9,0,9,
29/09/2002 0:00,0,9,0,9,0,9,
30/09/2002 0:00,0,9,0,9,0,9,
1/10/2002 0:00,0,9,0,9,0,9,
2/10/2002 0:00,0,9,0,9,0,9,
3/10/2002 0:00,0,9,0,9,0,9,
4/10/2002 0:00,0,9,0,9,0,9,
5/10/2002 0:00,0,9,0,9,0,9,
6/10/2002 0:00,0,9,0,9,0,9,
7/10/2002 0:00,0,9,0,9,0,9,
8/10/2002 0:00,0,9,0,9,0,9,
9/10/2002 0:00,0,9,0,9,0,9,
10/10/2002 0:00,0,9,0,9,0,9,
11/10/2002 0:00,0,9,0,9,0,9,
12/10/2002 0:00,0,9,0,9,0,9,
13/10/2002 0:00,0,9,0,9,0,9,
14/10/2002 0:00,0,9,0,9,0,9,
15/10/2002 0:00,0,9,0,9,0,9,
16/10/2002 0:00,0,9,0,9,0,9,
17/10/2002 0:00,0,9,0,9,0,9,
18/10/2002 0:00,0,9,0,9,0,9,
19/10/2002 0:00,0,9,0,9,0,9,
20/10/2002 0:00,0,9,0,9,0,9,
21/10/2002 0:00,0,9,0,9,0,9,
22/10/2002 0:00,0,9,0,9,0,9,
23/10/2002 0:00,0,9,0,9,0,9,
24/10/2002 0:00,0,9,0,9,0,9,
25/10/2002 0:00,0,9,0,9,0,9,
26/10/2002 0:00,0,9,0,9,0,9,
27/10/2002 0:00,0,9,0,9,0,9,
28/10/2002 0:00,0,9,0,9,0,9,
29/10/2002 0:00,0,9,0,9,0,9,
30/10/2002 0:00,0,9,0,9,0,9,
31/10/2002 0:00,0,9,0,9,0,9,
1/11/2002 0:00,0,9,0,9,0,9,
2/11/2002 0:00,0,9,0,9,0,9,
3/11/2002 0:00,0,9,0,9,0,9,
4/11/2002 0:00,0,9,0,9,0,9,
5/11/2002 0:00,0,9,0,9,0,9,
6/11/2002 0:00,0,9,0,9,0,9,
7/11/2002 0:00,0,9,0,9,0,9,
8/11/2002 0:00,0,9,0,9,0,9,
9/11/2002 0:00,0,9,0,9,0,9,
10/11/2002 0:00,0,9,0,9,0,9,
11/11/2002 0:00,0,9,0,9,0,9,
12/11/2002 0:00,0,9,0,9,0,9,
13/11/2002 0:00,0,9,0,9,0,9,
14/11/2002 0:00,0,9,0,9,0,9,
15/11/2002 0:00,0,9,0,9,0,9,
16/11/2002 0:00,0,9,0,9,0,9,
17/11/2002 0:00,0,9,0,9,0,9,
18/11/2002 0:00,1.916,60,0,60,20.242,60,
19/11/2002 0:00,19.852,20,12.595,20,25.232,20,
20/11/2002 0:00,10.38,20,7.708,20,12.595,20,
21/11/2002 0:00,6.085,20,3.702,20,8.128,20,
22/11/2002 0:00,3.636,60,1.206,60,5.387,60,
23/11/2002 0:00,0.977,60,0.747,60,1.206,60,
24/11/2002 0:00,0.424,60,0.144,60,0.747,60,
25/11/2002 0:00,0.046,60,0,60,0.144,60,
26/11/2002 0:00,0,9,0,9,0,9,
27/11/2002 0:00,0,9,0,9,0,9,
28/11/2002 0:00,0,9,0,9,0,9,
29/11/2002 0:00,0,9,0,9,0,9,
30/11/2002 0:00,0,9,0,9,0,9,
1/12/2002 0:00,0,9,0,9,0,9,
2/12/2002 0:00,0,9,0,9,0,9,
3/12/2002 0:00,0,9,0,9,0,9,
4/12/2002 0:00,0,9,0,9,0,9,
5/12/2002 0:00,0,9,0,9,0,9,
6/12/2002 0:00,0,9,0,9,0,9,
7/12/2002 0:00,0,9,0,9,0,9,
8/12/2002 0:00,0,9,0,9,0,9,
9/12/2002 0:00,0,9,0,9,0,9,
10/12/2002 0:00,0,9,0,9,0,9,
11/12/2002 0:00,0,9,0,9,0,9,
12/12/2002 0:00,0,9,0,9,0,9,
13/12/2002 0:00,0,9,0,9,0,9,
14/12/2002 0:00,0,9,0,9,0,9,
15/12/2002 0:00,0,9,0,9,0,9,
16/12/2002 0:00,0,9,0,9,0,9,
17/12/2002 0:00,0,9,0,9,0,9,
18/12/2002 0:00,0,9,0,9,0,9,
19/12/2002 0:00,0,9,0,9,0,9,
20/12/2002 0:00,0,9,0,9,0,9,
21/12/2002 0:00,0,9,0,9,0,9,
22/12/2002 0:00,0,9,0,9,0,9,
23/12/2002 0:00,0,9,0,9,0,9,
24/12/2002 0:00,0,9,0,9,0,9,
25/12/2002 0:00,0,9,0,9,0,9,
26/12/2002 0:00,0,9,0,9,0,9,
27/12/2002 0:00,22.171,60,0,60,192.186,60,
28/12/2002 0:00,120.778,20,83.598,20,192.186,20,
29/12/2002 0:00,91.815,20,60.08,20,112.784,20,
30/12/2002 0:00,40.714,20,23.667,20,60.08,20,
31/12/2002 0:00,19.466,20,14.631,20,23.667,20,
1/01/2003 0:00,12.303,20,9.262,20,14.631,20,
2/01/2003 0:00,7.937,20,6.879,20,9.262,20,
3/01/2003 0:00,8.018,20,6.879,20,9.034,20,
4/01/2003 0:00,6.78,20,6.484,20,7.075,20,
5/01/2003 0:00,9.066,20,6.484,20,10.235,20,
6/01/2003 0:00,8.786,20,7.708,20,10.235,20,
7/01/2003 0:00,6.554,20,5.558,20,7.708,20,
8/01/2003 0:00,6.409,20,5.558,20,7.489,20,
9/01/2003 0:00,5.74,20,5.558,20,5.921,20,
10/01/2003 0:00,4.892,20,4.225,20,5.558,20,
11/01/2003 0:00,3.882,20,3.54,20,4.225,20,
12/01/2003 0:00,2.725,20,2.133,20,3.54,20,
13/01/2003 0:00,1.438,60,0.913,60,2.251,60,
14/01/2003 0:00,0.794,60,0.676,60,0.913,60,
15/01/2003 0:00,0.529,60,0.383,60,0.676,60,
16/01/2003 0:00,0.253,60,0.123,60,0.383,60,
17/01/2003 0:00,3.73,60,0.123,60,5.387,60,
18/01/2003 0:00,3.089,20,2.638,20,3.54,20,
19/01/2003 0:00,1.826,60,1.104,60,2.638,60,
20/01/2003 0:00,0.516,60,0,60,1.104,60,
21/01/2003 0:00,0,60,0,60,0,60,
22/01/2003 0:00,0,9,0,9,0,9,
23/01/2003 0:00,0,9,0,9,0,9,
24/01/2003 0:00,0,9,0,9,0,9,
25/01/2003 0:00,0,9,0,9,0,9,
26/01/2003 0:00,0,9,0,9,0,9,
27/01/2003 0:00,0,9,0,9,0,9,
28/01/2003 0:00,0,9,0,9,0,9,
29/01/2003 0:00,0,9,0,9,0,9,
30/01/2003 0:00,0,9,0,9,0,9,
31/01/2003 0:00,0,9,0,9,0,9,
1/02/2003 0:00,0,9,0,9,0,9,
2/02/2003 0:00,0,9,0,9,0,9,
3/02/2003 0:00,0,9,0,9,0,9,
4/02/2003 0:00,1295.368,20,0,20,2678.795,20,
5/02/2003 0:00,3061.736,10,2678.795,10,3258.84,10,
6/02/2003 0:00,2905.119,10,1781.346,10,3296.33,10,
7/02/2003 0:00,901.641,20,624.909,20,1781.346,20,
8/02/2003 0:00,509.149,20,398.611,20,624.909,20,
9/02/2003 0:00,326.853,20,257.519,20,400.292,20,
10/02/2003 0:00,232.091,20,189.407,20,275.248,20,
11/02/2003 0:00,162.629,20,133.885,20,189.407,20,
12/02/2003 0:00,131.957,20,106.798,20,157.045,20,
13/02/2003 0:00,95.98,20,85.339,20,106.798,20,
14/02/2003 0:00,79.316,20,72.515,20,85.339,20,
15/02/2003 0:00,56.75,20,40.985,20,72.515,20,
16/02/2003 0:00,35.483,20,30.95,20,40.985,20,
17/02/2003 0:00,29.104,20,25.016,20,32.192,20,
18/02/2003 0:00,22.254,20,19.792,20,25.016,20,
19/02/2003 0:00,19.339,20,18.885,20,19.792,20,
20/02/2003 0:00,21.299,20,18.885,20,23.667,20,
21/02/2003 0:00,40.945,20,22.165,20,56.455,20,
22/02/2003 0:00,52.04,20,36.729,20,92.711,20,
23/02/2003 0:00,198.82,20,92.711,20,277.808,20,
24/02/2003 0:00,625.275,20,277.808,20,2647.892,20,
25/02/2003 0:00,4096.28,60,2647.892,60,8257.825,60,
26/02/2003 0:00,9173.83,60,6493.556,60,10983.927,60,
27/02/2003 0:00,5044.83,60,4622.497,60,6493.556,60,
28/02/2003 0:00,6151.917,60,4639.798,60,7802.91,60,
1/03/2003 0:00,5122.238,60,3643.863,60,7323.755,60,
2/03/2003 0:00,3119.847,60,2507.887,60,3643.863,60,
3/03/2003 0:00,1530.379,10,919.532,10,2507.887,10,
4/03/2003 0:00,711.697,20,554.988,20,921.699,20,
5/03/2003 0:00,482.018,20,412.515,20,554.988,20,
6/03/2003 0:00,387.222,20,336.323,20,414.03,20,
7/03/2003 0:00,319.588,20,302.027,20,336.323,20,
8/03/2003 0:00,293.606,20,266.804,20,322.504,20,
9/03/2003 0:00,245.263,20,223.723,20,266.804,20,
10/03/2003 0:00,204.272,20,185.247,20,223.723,20,
11/03/2003 0:00,166.253,20,147.111,20,185.247,20,
12/03/2003 0:00,153.358,20,147.111,20,162.229,20,
13/03/2003 0:00,271.04,20,162.229,20,374.49,20,
14/03/2003 0:00,366.238,20,352.419,20,381.972,20,
15/03/2003 0:00,431.017,20,365.631,20,508.313,20,
16/03/2003 0:00,328.167,20,242.753,20,440.918,20,
17/03/2003 0:00,202.248,20,166.219,20,242.753,20,
18/03/2003 0:00,148.357,20,131.62,20,166.219,20,
19/03/2003 0:00,155.046,20,131.62,20,273.971,20,
20/03/2003 0:00,699.572,20,273.971,20,926.04,20,
21/03/2003 0:00,678.048,20,434.516,20,903.887,20,
22/03/2003 0:00,339.494,20,281.829,20,434.516,20,
23/03/2003 0:00,311.978,20,281.829,20,335.238,20,
24/03/2003 0:00,678.814,20,310.145,20,982.427,20,
25/03/2003 0:00,429.384,20,308.802,20,654.701,20,
26/03/2003 0:00,263.314,20,215.801,20,308.802,20,
27/03/2003 0:00,191.421,20,168.802,20,215.801,20,
28/03/2003 0:00,156.801,20,145.839,20,168.802,20,
29/03/2003 0:00,190.448,20,145.839,20,257.519,20,
30/03/2003 0:00,227.913,20,167.508,20,272.538,20,
31/03/2003 0:00,153.854,20,141.032,20,167.508,20,
1/04/2003 0:00,176.268,20,153.335,20,195.164,20,
2/04/2003 0:00,137.668,20,115.974,20,153.335,20,
3/04/2003 0:00,106.12,20,101.494,20,115.974,20,
4/04/2003 0:00,149.787,20,101.494,20,281.134,20,
5/04/2003 0:00,219.474,20,153.335,20,299.145,20,
6/04/2003 0:00,126.453,20,99.497,20,153.335,20,
7/04/2003 0:00,91.465,20,75.946,20,99.497,20,
8/04/2003 0:00,65.106,20,54.782,20,75.946,20,
9/04/2003 0:00,45.499,20,37.591,20,54.782,20,
10/04/2003 0:00,34.166,20,32.192,20,37.591,20,
11/04/2003 0:00,64.932,20,32.192,20,105.494,20,
12/04/2003 0:00,92.362,20,81.823,20,105.494,20,
13/04/2003 0:00,74.936,20,65.33,20,81.823,20,
14/04/2003 0:00,62.705,20,60.08,20,65.33,20,
15/04/2003 0:00,56.855,20,53.629,20,60.08,20,
16/04/2003 0:00,52.606,20,51.583,20,53.629,20,
17/04/2003 0:00,49.269,20,46.955,20,51.583,20,
18/04/2003 0:00,46.314,20,45.672,20,46.955,20,
19/04/2003 0:00,44.072,20,42.471,20,45.672,20,
20/04/2003 0:00,40.656,20,38.841,20,42.471,20,
21/04/2003 0:00,37.129,20,35.416,20,38.841,20,
22/04/2003 0:00,37.692,20,31.548,20,42.471,20,
23/04/2003 0:00,32.507,20,31.548,20,33.466,20,
24/04/2003 0:00,34.767,20,33.466,20,36.069,20,
25/04/2003 0:00,30.726,20,27.997,20,38.841,20,
26/04/2003 0:00,260.794,20,32.39,20,1734.491,20,
27/04/2003 0:00,2137.553,10,1734.491,10,2393.049,10,
28/04/2003 0:00,1580.397,10,800.148,10,2124.108,10,
29/04/2003 0:00,539.213,20,378.536,20,800.148,20,
30/04/2003 0:00,307.977,20,242.753,20,378.536,20,
1/05/2003 0:00,200.949,20,164.813,20,242.753,20,
2/05/2003 0:00,157.062,20,139.79,20,218.978,20,
3/05/2003 0:00,392.345,20,218.978,20,488.039,20,
4/05/2003 0:00,251.696,20,222.107,20,333.566,20,
5/05/2003 0:00,202.493,20,182.39,20,223.509,20,
6/05/2003 0:00,177.905,20,168.802,20,183.748,20,
7/05/2003 0:00,159.419,20,141.013,20,168.802,20,
8/05/2003 0:00,137.47,20,125.914,20,141.013,20,
9/05/2003 0:00,117.88,20,103.164,20,129.306,20,
10/05/2003 0:00,98.503,20,90.87,20,103.514,20,
11/05/2003 0:00,80.878,20,70.659,20,90.87,20,
12/05/2003 0:00,65.335,20,59.318,20,70.659,20,
13/05/2003 0:00,52.214,20,41.332,20,59.318,20,
14/05/2003 0:00,32.652,20,30.359,20,41.332,20,
15/05/2003 0:00,153.233,20,31.548,20,1047.388,20,
16/05/2003 0:00,1292.426,20,649.199,20,1763.757,20,
17/05/2003 0:00,397.39,20,249.166,20,649.199,20,
18/05/2003 0:00,188.131,20,141.032,20,249.166,20,
19/05/2003 0:00,104.984,20,80.069,20,141.032,20,
20/05/2003 0:00,70.507,20,60.276,20,80.069,20,
21/05/2003 0:00,54.911,20,44.447,20,60.276,20,
22/05/2003 0:00,42.231,20,40.233,20,44.447,20,
23/05/2003 0:00,33.799,20,28.558,20,40.233,20,
24/05/2003 0:00,27.608,20,21.19,20,30.95,20,
25/05/2003 0:00,22.355,20,21.291,20,23.667,20,
26/05/2003 0:00,19.171,20,15.247,20,23.667,20,
27/05/2003 0:00,23.667,20,15.247,20,27.443,20,
28/05/2003 0:00,24.73,20,23.17,20,26.323,20,
29/05/2003 0:00,41.753,20,26.323,20,70.09,20,
30/05/2003 0:00,75.224,20,62.307,20,86.272,20,
31/05/2003 0:00,65.362,20,62.307,20,68.483,20,
1/06/2003 0:00,157.332,20,68.483,20,233.117,20,
2/06/2003 0:00,110.106,20,82.681,20,152.032,20,
3/06/2003 0:00,70.119,20,61.529,20,82.681,20,
4/06/2003 0:00,255.804,20,61.529,20,660.524,20,
5/06/2003 0:00,485.003,20,343.704,20,632.359,20,
6/06/2003 0:00,253.219,20,182.39,20,343.704,20,
